10280;A Place to Live;1941;2921;NULL;NULL
10281;A Prairie Home Companion;2006;954;10000000;25978442
10282;A Prayer for the Dying;1987;2931;NULL;NULL
10283;A Price Above Rubies;1999;2933;NULL;1081957
10284;A Primitive Mans Career to Civilization;1912;2939;NULL;NULL
10285;A Private Function;1984;2940;NULL;NULL
10286;A Prophet;2009;2948;13000000;NULL
10287;A Question of Silence;1982;2967;NULL;NULL
10288;A Quiet Place in the Country;1969;2975;NULL;NULL
10289;A Raisin in the Sun;1961;2990;1500000;NULL
10290;A Reckless Romeo;1917;NULL;NULL;NULL
10291;A Report on the Party and the Guests;1966;3001;NULL;NULL
10292;A River made to Drown In;1997;NULL;NULL;NULL
10293;A River Runs Through It;1992;3031;NULL;NULL
10294;A Room with a View;1985;3035;3000000;20966644
10295;A Royal Scandal;1945;3052;NULL;NULL
10296;A Safe Place;1971;3060;NULL;NULL
10297;A Sailor-Made Man;1921;3064;NULL;NULL
10298;A Sawmill Hazard;1913;1848;NULL;NULL
10299;A Self Made Hero (Un h̩ros tr̬s discret);1996;2948;NULL;NULL
10300;A Serious Man;2009;3091;7000000;31312437
10301;A Ship to India ;1947;3100;NULL;NULL
10302;A Short Film About Killing;1988;3112;NULL;NULL
10303;A Short Film About Love;1988;3112;NULL;NULL
10304;A Shot in the Dark;1964;177;NULL;NULL
10305;A Show of Force;1990;3131;NULL;NULL
10306;A Simple Plan;1998;3135;17000000;NULL
10307;A Simple Twist Of Fate;1995;3143;NULL;3430583
10308;A Six Cylinder Elopement;1912;2;NULL;NULL
10309;A Slipping-Down Life;2004;3152;NULL;NULL
10310;A Small Domain;1996;3168;NULL;NULL
10311;A Society Scandal;1924;355;NULL;NULL
10312;A Soldiers Prayer;1961;3178;NULL;NULL
10313;A Soldiers Story;1984;3179;NULL;NULL
10314;A Song Is Born;1948;2084;NULL;NULL
10315;A Song to Remember;1945;1970;NULL;NULL
10316;A Sound of Thunder;2005;584;80000000;11665465
10317;A Special Day;1977;3216;NULL;NULL
10318;A Star Is Born;1937;3226;1173639;NULL
10319;A Star Is Born;1954;1443;NULL;NULL
10320;A Star Is Born;1976;3235;6000000;123000000
10321;A Story of Floating Weeds;1934;2181;NULL;NULL
10322;A Stranger Among Us;1992;261;33000000;12282994
